Identificación,Nombre,Apellidos,Carnet Estudiante,Fecha Nacimiento,Email
11000,Jose,Rodriguez,2015000001,01/01/97,prueba@juncos.com
11001,Kevin,Murillo,2015000002,01/02/97,prueba@juncos.com
11002,Josue,Alfaro,2015000003,01/03/97,prueba@juncos.com
11003,Luis,Alízar,2015000004,01/04/97,prueba@juncos.com
11004,Maria,Zamora,2015000005,01/05/97,prueba@juncos.com
11005,Rosa,Estrada,2015000006,01/06/97,prueba@juncos.com
11006,Laura,Brenes,2015000007,01/07/97,prueba@juncos.com
11007,Jose,Rodriguez,2015000008,01/01/97,prueba@juncos.com
11008,Kevin,Murillo,2015000009,01/02/97,prueba@juncos.com
11009,Josue,Alfaro,2015000010,01/03/97,prueba@juncos.com
11010,Luis,Alízar,2015000011,01/04/97,prueba@juncos.com
11011,Maria,Zamora,2015000012,01/05/97,prueba@juncos.com
11012,Rosa,Estrada,2015000013,01/06/97,prueba@juncos.com
11013,Laura,Brenes,2015000014,01/07/97,prueba@juncos.com
11014,Jose,Rodriguez,2015000015,01/01/97,prueba@juncos.com
11015,Kevin,Murillo,2015000016,01/02/97,prueba@juncos.com
11016,Josue,Alfaro,2015000017,01/03/97,prueba@juncos.com
11017,Luis,Alízar,2015000018,01/04/97,prueba@juncos.com
11018,Maria,Zamora,2015000019,01/05/97,prueba@juncos.com
11019,Rosa,Estrada,2015000020,01/06/97,prueba@juncos.com
11020,Laura,Brenes,2015000021,01/07/97,prueba@juncos.com
11021,Jose,Rodriguez,2015000022,01/01/97,prueba@juncos.com
11022,Kevin,Murillo,2015000023,01/02/97,prueba@juncos.com
11023,Josue,Alfaro,2015000024,01/03/97,prueba@juncos.com
11024,Luis,Alízar,2015000025,01/04/97,prueba@juncos.com
11025,Maria,Zamora,2015000026,01/05/97,prueba@juncos.com
11026,Rosa,Estrada,2015000027,01/06/97,prueba@juncos.com
11027,Laura,Brenes,2015000028,01/07/97,prueba@juncos.com
11028,Jose,Rodriguez,2015000029,01/01/97,prueba@juncos.com
11029,Kevin,Murillo,2015000030,01/02/97,prueba@juncos.com
11030,Josue,Alfaro,2015000031,01/03/97,prueba@juncos.com
11031,Luis,Alízar,2015000032,01/04/97,prueba@juncos.com
11032,Maria,Zamora,2015000033,01/05/97,prueba@juncos.com
11033,Rosa,Estrada,2015000034,01/06/97,prueba@juncos.com
11034,Laura,Brenes,2015000035,01/07/97,prueba@juncos.com
11035,Jose,Rodriguez,2015000036,01/01/97,prueba@juncos.com
11036,Kevin,Murillo,2015000037,01/02/97,prueba@juncos.com
11037,Josue,Alfaro,2015000038,01/03/97,prueba@juncos.com
11038,Luis,Alízar,2015000039,01/04/97,prueba@juncos.com
11039,Maria,Zamora,2015000040,01/05/97,prueba@juncos.com
11040,Rosa,Estrada,2015000041,01/06/97,prueba@juncos.com
11041,Laura,Brenes,2015000042,01/07/97,prueba@juncos.com
11042,Jose,Rodriguez,2015000043,01/01/97,prueba@juncos.com
11043,Kevin,Murillo,2015000044,01/02/97,prueba@juncos.com
11044,Josue,Alfaro,2015000045,01/03/97,prueba@juncos.com
11045,Luis,Alízar,2015000046,01/04/97,prueba@juncos.com
11046,Maria,Zamora,2015000047,01/05/97,prueba@juncos.com
11047,Rosa,Estrada,2015000048,01/06/97,prueba@juncos.com
11048,Laura,Brenes,2015000049,01/07/97,prueba@juncos.com
11049,Jose,Rodriguez,2015000050,01/01/97,prueba@juncos.com
11050,Kevin,Murillo,2015000051,01/02/97,prueba@juncos.com
11051,Josue,Alfaro,2015000052,01/03/97,prueba@juncos.com
11052,Luis,Alízar,2015000053,01/04/97,prueba@juncos.com
11053,Maria,Zamora,2015000054,01/05/97,prueba@juncos.com
11054,Rosa,Estrada,2015000055,01/06/97,prueba@juncos.com
11055,Laura,Brenes,2015000056,01/07/97,prueba@juncos.com
11056,Jose,Rodriguez,2015000057,01/01/97,prueba@juncos.com
11057,Kevin,Murillo,2015000058,01/02/97,prueba@juncos.com
11058,Josue,Alfaro,2015000059,01/03/97,prueba@juncos.com
11059,Luis,Alízar,2015000060,01/04/97,prueba@juncos.com
11060,Maria,Zamora,2015000061,01/05/97,prueba@juncos.com
11061,Rosa,Estrada,2015000062,01/06/97,prueba@juncos.com
11062,Laura,Brenes,2015000063,01/07/97,prueba@juncos.com
11063,Jose,Rodriguez,2015000064,01/01/97,prueba@juncos.com
11064,Kevin,Murillo,2015000065,01/02/97,prueba@juncos.com
11065,Josue,Alfaro,2015000066,01/03/97,prueba@juncos.com
11066,Luis,Alízar,2015000067,01/04/97,prueba@juncos.com
11067,Maria,Zamora,2015000068,01/05/97,prueba@juncos.com
11068,Rosa,Estrada,2015000069,01/06/97,prueba@juncos.com
11069,Laura,Brenes,2015000070,01/07/97,prueba@juncos.com
11070,Jose,Rodriguez,2015000071,01/01/97,prueba@juncos.com
11071,Kevin,Murillo,2015000072,01/02/97,prueba@juncos.com
11072,Josue,Alfaro,2015000073,01/03/97,prueba@juncos.com
11073,Luis,Alízar,2015000074,01/04/97,prueba@juncos.com
11074,Maria,Zamora,2015000075,01/05/97,prueba@juncos.com
11075,Rosa,Estrada,2015000076,01/06/97,prueba@juncos.com
11076,Laura,Brenes,2015000077,01/07/97,prueba@juncos.com
11077,Jose,Rodriguez,2015000078,01/01/97,prueba@juncos.com
11078,Kevin,Murillo,2015000079,01/02/97,prueba@juncos.com
11079,Josue,Alfaro,2015000080,01/03/97,prueba@juncos.com
11080,Luis,Alízar,2015000081,01/04/97,prueba@juncos.com
11081,Maria,Zamora,2015000082,01/05/97,prueba@juncos.com
11082,Rosa,Estrada,2015000083,01/06/97,prueba@juncos.com
11083,Laura,Brenes,2015000084,01/07/97,prueba@juncos.com
11084,Jose,Rodriguez,2015000085,01/01/97,prueba@juncos.com
11085,Kevin,Murillo,2015000086,01/02/97,prueba@juncos.com
11086,Josue,Alfaro,2015000087,01/03/97,prueba@juncos.com
11087,Luis,Alízar,2015000088,01/04/97,prueba@juncos.com
11088,Maria,Zamora,2015000089,01/05/97,prueba@juncos.com
11089,Rosa,Estrada,2015000090,01/06/97,prueba@juncos.com
11090,Laura,Brenes,2015000091,01/07/97,prueba@juncos.com
11091,Jose,Rodriguez,2015000092,01/01/97,prueba@juncos.com
11092,Kevin,Murillo,2015000093,01/02/97,prueba@juncos.com
11093,Josue,Alfaro,2015000094,01/03/97,prueba@juncos.com
11094,Luis,Alízar,2015000095,01/04/97,prueba@juncos.com
11095,Maria,Zamora,2015000096,01/05/97,prueba@juncos.com
11096,Rosa,Estrada,2015000097,01/06/97,prueba@juncos.com
11097,Laura,Brenes,2015000098,01/07/97,prueba@juncos.com
11098,Jose,Rodriguez,2015000099,01/01/97,prueba@juncos.com
