Nombre,Apellidos,Identificación,Carnet Estudiante,Fecha Nacimiento,Email
Jose,Rodriguez,11000,2015000001,01/01/97,prueba@juncos.com
Kevin,Murillo,11001,2015000002,01/02/97,prueba@juncos.com
Josue,Alfaro,11002,2015000003,01/03/97,prueba@juncos.com
Luis,Alízar,11003,2015000004,01/04/97,prueba@juncos.com
Maria,Zamora,11004,2015000005,01/05/97,prueba@juncos.com
Rosa,Estrada,11005,2015000006,01/06/97,prueba@juncos.com
Laura,Brenes,11006,2015000007,01/07/97,prueba@juncos.com
Jose,Rodriguez,11007,2015000008,01/01/97,prueba@juncos.com
Kevin,Murillo,11008,2015000009,01/02/97,prueba@juncos.com
Josue,Alfaro,11009,2015000010,01/03/97,prueba@juncos.com
Luis,Alízar,11010,2015000011,01/04/97,prueba@juncos.com
Maria,Zamora,11011,2015000012,01/05/97,prueba@juncos.com
Rosa,Estrada,11012,2015000013,01/06/97,prueba@juncos.com
Laura,Brenes,11013,2015000014,01/07/97,prueba@juncos.com
Jose,Rodriguez,11014,2015000015,01/01/97,prueba@juncos.com
Kevin,Murillo,11015,2015000016,01/02/97,prueba@juncos.com
Josue,Alfaro,11016,2015000017,01/03/97,prueba@juncos.com
Luis,Alízar,11017,2015000018,01/04/97,prueba@juncos.com
Maria,Zamora,11018,2015000019,01/05/97,prueba@juncos.com
Rosa,Estrada,11019,2015000020,01/06/97,prueba@juncos.com
Laura,Brenes,11020,2015000021,01/07/97,prueba@juncos.com
Jose,Rodriguez,11021,2015000022,01/01/97,prueba@juncos.com
Kevin,Murillo,11022,2015000023,01/02/97,prueba@juncos.com
Josue,Alfaro,11023,2015000024,01/03/97,prueba@juncos.com
Luis,Alízar,11024,2015000025,01/04/97,prueba@juncos.com
Maria,Zamora,11025,2015000026,01/05/97,prueba@juncos.com
Rosa,Estrada,11026,2015000027,01/06/97,prueba@juncos.com
Laura,Brenes,11027,2015000028,01/07/97,prueba@juncos.com
Jose,Rodriguez,11028,2015000029,01/01/97,prueba@juncos.com
Kevin,Murillo,11029,2015000030,01/02/97,prueba@juncos.com
Josue,Alfaro,11030,2015000031,01/03/97,prueba@juncos.com
Luis,Alízar,11031,2015000032,01/04/97,prueba@juncos.com
Maria,Zamora,11032,2015000033,01/05/97,prueba@juncos.com
Rosa,Estrada,11033,2015000034,01/06/97,prueba@juncos.com
Laura,Brenes,11034,2015000035,01/07/97,prueba@juncos.com
Jose,Rodriguez,11035,2015000036,01/01/97,prueba@juncos.com
Kevin,Murillo,11036,2015000037,01/02/97,prueba@juncos.com
Josue,Alfaro,11037,2015000038,01/03/97,prueba@juncos.com
Luis,Alízar,11038,2015000039,01/04/97,prueba@juncos.com
Maria,Zamora,11039,2015000040,01/05/97,prueba@juncos.com
Rosa,Estrada,11040,2015000041,01/06/97,prueba@juncos.com
Laura,Brenes,11041,2015000042,01/07/97,prueba@juncos.com
Jose,Rodriguez,11042,2015000043,01/01/97,prueba@juncos.com
Kevin,Murillo,11043,2015000044,01/02/97,prueba@juncos.com
Josue,Alfaro,11044,2015000045,01/03/97,prueba@juncos.com
Luis,Alízar,11045,2015000046,01/04/97,prueba@juncos.com
Maria,Zamora,11046,2015000047,01/05/97,prueba@juncos.com
Rosa,Estrada,11047,2015000048,01/06/97,prueba@juncos.com
Laura,Brenes,11048,2015000049,01/07/97,prueba@juncos.com
Jose,Rodriguez,11049,2015000050,01/01/97,prueba@juncos.com
Kevin,Murillo,11050,2015000051,01/02/97,prueba@juncos.com
Josue,Alfaro,11051,2015000052,01/03/97,prueba@juncos.com
Luis,Alízar,11052,2015000053,01/04/97,prueba@juncos.com
Maria,Zamora,11053,2015000054,01/05/97,prueba@juncos.com
Rosa,Estrada,11054,2015000055,01/06/97,prueba@juncos.com
Laura,Brenes,11055,2015000056,01/07/97,prueba@juncos.com
Jose,Rodriguez,11056,2015000057,01/01/97,prueba@juncos.com
Kevin,Murillo,11057,2015000058,01/02/97,prueba@juncos.com
Josue,Alfaro,11058,2015000059,01/03/97,prueba@juncos.com
Luis,Alízar,11059,2015000060,01/04/97,prueba@juncos.com
Maria,Zamora,11060,2015000061,01/05/97,prueba@juncos.com
Rosa,Estrada,11061,2015000062,01/06/97,prueba@juncos.com
